0,1,2,3,4
5,6,7,8,9
10,11,12,13,14
0,15,16,17,18
19,1,20,21,22
23,11,13,8,24
7,1,25,15,26
6,5,27,28,29
5,1,13,30,31
10,6,19,20,32
5,33,15,6,34
7,1,25,22,35
7,1,13,20,36
10,6,37,22,38
23,11,8,37,39
33,40,41,19,34
32,16,42,39,38
7,40,23,43,44
6,10,11,16,45
7,46,32,13,1
7,12,27,47,17
23,11,5,13,34
46,7,13,34,48
23,11,31,49,50
7,6,25,46,50
5,11,27,29,28
23,10,15,34,35
5,11,13,39,28
7,5,23,13,34
19,6,11,12,17
51,49,13,52,12
17,6,11,16,53
7,40,27,32,54
0,13,10,25,22
31,34,23,10,55
56,25,4,40,8
25,0,19,21,4
10,7,40,48,33
5,0,33,27,39
7,11,17,14,46
0,25,51,49,13
23,10,5,15,56
6,5,40,15,30
10,25,0,8,28
5,56,37,1,34
57,13,10,53,58
0,1,2,3,4
5,6,7,8,9
10,11,12,13,14
0,15,16,17,18
19,1,20,21,22
23,11,13,8,24
7,1,25,15,26
6,5,27,28,29
5,1,13,30,31
10,6,19,20,32
5,33,15,6,34
7,1,25,22,35
7,1,13,20,36
10,6,37,22,38
23,11,8,37,39
33,40,41,19,34
32,16,42,39,38
7,40,23,43,44
6,10,11,16,45
7,46,32,13,1
7,12,27,47,17
23,11,5,13,34
46,7,13,34,48
23,11,31,49,50
7,6,25,46,50
5,11,27,29,28
23,10,15,34,35
5,11,13,39,28
7,5,23,13,34
19,6,11,12,17
51,49,13,52,12
17,6,11,16,53
7,40,27,32,54
0,13,10,25,22
31,34,23,10,55
56,25,4,40,8
25,0,19,21,4
10,7,40,48,33
5,0,33,27,39
7,11,17,14,46
0,25,51,49,13
23,10,5,15,56
6,5,40,15,30
10,25,0,8,28
5,56,37,1,34
57,13,10,53,58
11,25,59,15,52
7,6,5,13,17
1,10,22,0,60
6,11,13,4,48
5,10,13,61,4
33,6,11,17,53
33,7,27,12,36
6,11,5,14,25
33,0,22,13,62
11,7,21,5,27
1,10,13,17,8
11,33,6,30,53
1,37,20,22,63
57,11,21,14,64
6,12,27,45,41
1,5,13,7,56
33,1,22,16,54
6,11,14,7,30
5,4,33,0,56
10,13,65,35,11
11,10,13,21,34
5,6,40,31,4
33,1,6,48,4
10,11,22,13,0
6,10,33,8,17
23,7,11,25,34
33,6,7,32,11
10,1,13,22,37
7,6,11,22,25
5,13,17,66,67
5,0,4,12,68
23,19,6,25,10
10,5,11,13,34
7,6,0,25,14
5,1,60,17,20
57,8,33,12,7
5,1,60,33,4
57,0,31,7,62
1,5,34,40,20
57,31,27,11,45
5,21,17,6,37
1,10,33,8,39
5,1,17,6,14
10,25,69,8,0
5,6,13,19,0
57,1,31,53,33
7,1,25,35,65
5,13,11,40,34
10,33,65,40,70
